case_numbe,sr_type,quad_statu,day,sec_name,quad,tally
101003927219,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU113,SW,1
101003927237,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU118,SW,1
101003929003,Missed Garbage Pickup,SW_Not_Overdue,THURSDAY,SWTH103,SW,1
101003926128,Missed Yard Waste Pickup,SW_Overdue,MONDAY,SWMO105,SW,1
101003926037,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH104,SW,1
101003926981,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU105,SW,1
101003927114,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU105,SW,1
101003924360,Missed Recycling Pickup,SW_Overdue,MONDAY,SWMO102,SW,1
101003925504,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH104,SW,1
101003924914,Missed Yard Waste Pickup,SW_Overdue,TUESDAY,SWTU112,SW,1
101003927069,Missed Yard Waste Pickup,SW_Not_Overdue,MONDAY,SWMO113,SW,1
101003929746,Missed Garbage Pickup,SW_Not_Overdue,MONDAY,SWMO113,SW,1
101003927434,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH102,SW,1
101003932749,Missed Garbage Pickup,SW_Not_Overdue,MONDAY,SWMO110,SW,1
101003906819,Missed Heavy Trash Pickup,SW_Overdue,MONDAY,SWMO115,SW,1
101003906195,Missed Heavy Trash Pickup,SW_Overdue,MONDAY,SWMO115,SW,1
101003930406,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU105,SW,1
101003925387,Missed Recycling Pickup,SW_Overdue,TUESDAY,SWTU105,SW,1
101003929924,Missed Garbage Pickup,SW_Not_Overdue,MONDAY,SWMO113,SW,1
101003926120,Missed Yard Waste Pickup,SW_Overdue,MONDAY,SWMO113,SW,1
101003932006,Missed Garbage Pickup,SW_Not_Overdue,TUESDAY,SWTU103,SW,1
101003926469,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU120,SW,1
101003927273,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH109,SW,1
101003927029,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH105,SW,1
101003932379,Missed Recycling Pickup,SW_Not_Overdue,MONDAY,SWMO116,SW,1
101003932193,Missed Garbage Pickup,SW_Not_Overdue,TUESDAY,SWTU108,SW,1
101003927036,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU101,SW,1
101003926100,Missed Yard Waste Pickup,SW_Overdue,TUESDAY,SWTU102,SW,1
101003927121,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH103,SW,1
101003923377,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH101,SW,1
101003928201,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH107,SW,1
101003928232,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH107,SW,1
101003922014,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH107,SW,1
101003932093,Missed Heavy Trash Pickup,SW_Not_Overdue,FRIDAY,SWFR115,SW,1
101003927714,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH111,SW,1
101003930763,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH118,SW,1
101003932041,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH113,SW,1
101003925403,Missed Recycling Pickup,SW_Overdue,THURSDAY,SWTH111,SW,1
101003929837,Missed Yard Waste Pickup,SW_Not_Overdue,FRIDAY,SWFR116,SW,1
101003928916,Missed Garbage Pickup,SW_Not_Overdue,FRIDAY,SWFR108,SW,1
101003921492,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003926623,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003890321,Missed Heavy Trash Pickup,SW_Overdue,FRIDAY,SWFR116,SW,1
101003928826,Missed Garbage Pickup,SW_Not_Overdue,THURSDAY,SWTH103,SW,1
101003929179,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH103,SW,1
101003929791,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH103,SW,1
101003921282,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR105,SW,1
101003927448,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR105,SW,1
101003928624,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR110,SW,1
101003923126,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH116,SW,1
101003927451,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH117,SW,1
101003927177,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR112,SW,1
101003921687,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003931180,Missed Recycling Pickup,SE_Not_Overdue,MONDAY,SEMO113,SE,1
101003930366,Missed Yard Waste Pickup,SW_Not_Overdue,FRIDAY,SWFR112,SW,1
101003928657,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR122,SW,1
101003927590,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH114,SW,1
101003928172,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH114,SW,1
101003930676,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH117,SW,1
101003932160,Missed Heavy Trash Pickup,SW_Not_Overdue,THURSDAY,SWTH117,SW,1
101003926961,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH103,SW,1
101003927524,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH103,SW,1
101003925114,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR107,SW,1
101003925316,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR107,SW,1
101003932524,Missed Heavy Trash Pickup,SW_Not_Overdue,FRIDAY,SWFR120,SW,1
101003929215,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH113,SW,1
101003925803,Missed Yard Waste Pickup,SW_Overdue,THURSDAY,SWTH112,SW,1
101003928967,Missed Garbage Pickup,SW_Not_Overdue,FRIDAY,SWFR118,SW,1
101003928635,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR118,SW,1
101003928863,Missed Garbage Pickup,SW_Not_Overdue,FRIDAY,SWFR118,SW,1
101003929330,Missed Garbage Pickup,SW_Not_Overdue,FRIDAY,SWFR118,SW,1
101003928609,Missed Garbage Pickup,SW_Overdue,FRIDAY,SWFR118,SW,1
101003920715,Missed Recycling Pickup,SW_Overdue,FRIDAY,SWFR109,SW,1
101003929958,Missed Yard Waste Pickup,SW_Not_Overdue,THURSDAY,SWTH120,SW,1
101003928786,Missed Recycling Pickup,SW_Not_Overdue,THURSDAY,SWTH111,SW,1
101003927468,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH114,SW,1
101003932043,Missed Heavy Trash Pickup,SW_Not_Overdue,FRIDAY,SWFR103,SW,1
101003890151,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO108,SE,1
101003887934,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003888617,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003890586,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO106,SE,1
101003888574,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO121,SE,1
101003892163,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO116,SE,1
101003891343,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003890492,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003890511,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO120,SE,1
101003890899,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO107,SE,1
101003890903,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO105,SE,1
101003932858,Missed Garbage Pickup,SE_Not_Overdue,MONDAY,SEMO105,SE,1
101003890082,Missed Heavy Trash Pickup,SE_Overdue,TUESDAY,SETU101,SE,1
101003932476,Missed Recycling Pickup,SE_Not_Overdue,TUESDAY,SETU107,SE,1
101003932690,Missed Recycling Pickup,SE_Not_Overdue,TUESDAY,SETU113,SE,1
101003931973,Missed Garbage Pickup,SE_Not_Overdue,TUESDAY,SETU115,SE,1
101003889986,Missed Heavy Trash Pickup,SE_Overdue,TUESDAY,SETU115,SE,1
101003932455,Missed Garbage Pickup,SE_Not_Overdue,TUESDAY,SETU115,SE,1
101003931978,Missed Garbage Pickup,SE_Not_Overdue,TUESDAY,SETU118,SE,1
101003930598,Missed Heavy Trash Pickup,SE_Not_Overdue,FRIDAY,SEFR102,SE,1
101003932741,Missed Heavy Trash Pickup,SE_Not_Overdue,FRIDAY,SEFR102,SE,1
101003929248,Missed Recycling Pickup,SE_Not_Overdue,FRIDAY,SEFR117,SE,1
101003931075,Missed Heavy Trash Pickup,SE_Not_Overdue,TUESDAY,SETU123,SE,1
101003932092,Missed Yard Waste Pickup,SE_Not_Overdue,TUESDAY,SETU123,SE,1
101003886679,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR115,SE,1
101003932116,Missed Garbage Pickup,SE_Not_Overdue,TUESDAY,SETU116,SE,1
101003922737,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR121,SE,1
101003932839,Missed Garbage Pickup,SE_Not_Overdue,TUESDAY,SETU116,SE,1
101003930054,Missed Heavy Trash Pickup,SE_Not_Overdue,TUESDAY,SETU118,SE,1
101003932078,Missed Yard Waste Pickup,SE_Not_Overdue,TUESDAY,SETU118,SE,1
101003932188,Missed Garbage Pickup,SE_Not_Overdue,TUESDAY,SETU112,SE,1
101003928228,Missed Garbage Pickup,SE_Overdue,FRIDAY,SEFR109,SE,1
101003932376,Missed Heavy Trash Pickup,SE_Not_Overdue,FRIDAY,SEFR108,SE,1
101003932797,Missed Recycling Pickup,SE_Not_Overdue,TUESDAY,SETU118,SE,1
101003777565,Missed Recycling Pickup,SE_Overdue,FRIDAY,SEFR109,SE,1
101003886417,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003931974,Missed Recycling Pickup,NW_Not_Overdue,MONDAY,NWMO115,NW,1
101003920210,Missed Recycling Pickup,NW_Overdue,MONDAY,NWMO115,NW,1
101003926529,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU122,SW,1
101003931674,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU113,NW,1
101003932387,Missed Heavy Trash Pickup,NW_Not_Overdue,TUESDAY,NWTU113,NW,1
101003925062,Missed Garbage Pickup,NW_Overdue,TUESDAY,NWTU113,NW,1
101003929586,Missed Garbage Pickup,SW_Not_Overdue,FRIDAY,SWFR120,SW,1
101003930379,Missed Garbage Pickup,SW_Not_Overdue,FRIDAY,SWFR120,SW,1
101003920294,Missed Heavy Trash Pickup,NE_Overdue,TUESDAY,NETU107,NE,1
101003886825,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR119,NW,1
101003920813,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR119,NW,1
101003890869,Missed Heavy Trash Pickup,NW_Overdue,FRIDAY,NWFR118,NW,1
101003931516,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU102,NW,1
101003931788,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU102,NW,1
101003932861,Missed Garbage Pickup,NE_Not_Overdue,TUESDAY,NETU108,NE,1
101003919597,Missed Heavy Trash Pickup,NW_Overdue,THURSDAY,NWTH124,NW,1
101003929053,Missed Recycling Pickup,SW_Not_Overdue,FRIDAY,SWFR117,SW,1
101003929048,Missed Recycling Pickup,SW_Not_Overdue,FRIDAY,SWFR117,SW,1
101003932082,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU101,NW,1
101003932229,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU101,NW,1
101003908703,Missed Heavy Trash Pickup,NE_Overdue,THURSDAY,NETH113,NE,1
101003931983,Missed Heavy Trash Pickup,SW_Not_Overdue,FRIDAY,SWFR121,SW,1
101003922467,Missed Heavy Trash Pickup,NE_Overdue,THURSDAY,NETH107,NE,1
101003931757,Missed Heavy Trash Pickup,NE_Not_Overdue,MONDAY,NEMO109,NE,1
101003932454,Missed Garbage Pickup,NE_Not_Overdue,TUESDAY,NETU109,NE,1
101003932675,Missed Recycling Pickup,NE_Not_Overdue,TUESDAY,NETU114,NE,1
101003931602,Missed Yard Waste Pickup,NW_Not_Overdue,MONDAY,NWMO118,NW,1
101003920141,Missed Heavy Trash Pickup,NE_Overdue,MONDAY,NEMO119,NE,1
101003907068,Missed Heavy Trash Pickup,NE_Overdue,THURSDAY,NETH101,NE,1
101003908952,Missed Heavy Trash Pickup,NE_Overdue,TUESDAY,NETU119,NE,1
101003907401,Missed Recycling Pickup,SE_Overdue,TUESDAY,SETU101,SE,1
101003931526,Missed Heavy Trash Pickup,SE_Not_Overdue,TUESDAY,SETU113,SE,1
101003927254,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU120,SW,1
101003932878,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU104,SW,1
101003923171,Missed Heavy Trash Pickup,NE_Overdue,MONDAY,NEMO102,NE,1
101003919828,Missed Heavy Trash Pickup,NE_Overdue,MONDAY,NEMO102,NE,1
101003908770,Missed Heavy Trash Pickup,NE_Overdue,TUESDAY,NETU102,NE,1
101003925459,Missed Heavy Trash Pickup,NE_Not_Overdue,FRIDAY,NEFR117,NE,1
101003920056,Missed Heavy Trash Pickup,NE_Overdue,TUESDAY,NETU105,NE,1
101003931947,Missed Garbage Pickup,NE_Not_Overdue,MONDAY,NEMO115,NE,1
101003924582,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR103,NE,1
101003931932,Missed Garbage Pickup,SE_Not_Overdue,TUESDAY,SETU102,SE,1
101003892130,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR120,NE,1
101003906091,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR120,NE,1
101003887064,Missed Heavy Trash Pickup,NE_Overdue,MONDAY,NEMO110,NE,1
101003886470,Missed Heavy Trash Pickup,NE_Overdue,MONDAY,NEMO104,NE,1
101003922938,Missed Heavy Trash Pickup,NE_Overdue,FRIDAY,NEFR117,NE,1
101003930230,Missed Heavy Trash Pickup,NE_Not_Overdue,FRIDAY,NEFR104,NE,1
101003926358,Missed Heavy Trash Pickup,NE_Not_Overdue,MONDAY,NEMO103,NE,1
101003923365,Missed Heavy Trash Pickup,NE_Overdue,MONDAY,NEMO103,NE,1
101003931518,Missed Garbage Pickup,NE_Not_Overdue,MONDAY,NEMO106,NE,1
101003931830,Missed Recycling Pickup,SW_Not_Overdue,TUESDAY,SWTU104,SW,1
101003919980,Missed Recycling Pickup,SW_Overdue,THURSDAY,SWTH108,SW,1
101003932486,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU104,NW,1
101003932527,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU104,NW,1
101003926298,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU112,SW,1
101003929587,Missed Yard Waste Pickup,NW_Not_Overdue,THURSDAY,NWTH117,NW,1
101003927436,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH106,SW,1
101003928456,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH106,SW,1
101003932821,Missed Recycling Pickup,SW_Not_Overdue,MONDAY,SWMO102,SW,1
101003926269,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU113,SW,1
101003926751,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU113,SW,1
101003889029,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003889363,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003929879,Missed Garbage Pickup,SW_Not_Overdue,FRIDAY,SWFR114,SW,1
101003931929,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU119,NW,1
101003932065,Missed Yard Waste Pickup,NW_Not_Overdue,TUESDAY,NWTU119,NW,1
101003930994,Missed Heavy Trash Pickup,NW_Not_Overdue,THURSDAY,NWTH101,NW,1
101003929770,Missed Yard Waste Pickup,NW_Not_Overdue,THURSDAY,NWTH123,NW,1
101003905825,Missed Heavy Trash Pickup,NW_Overdue,THURSDAY,NWTH123,NW,1
101003890966,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003889765,Missed Heavy Trash Pickup,SE_Overdue,MONDAY,SEMO118,SE,1
101003928735,Missed Recycling Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003886041,Missed Heavy Trash Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003921254,Missed Recycling Pickup,SE_Overdue,FRIDAY,SEFR120,SE,1
101003932466,Missed Heavy Trash Pickup,NW_Not_Overdue,THURSDAY,NWTH105,NW,1
101003932362,Missed Garbage Pickup,NW_Not_Overdue,TUESDAY,NWTU118,NW,1
101003932726,Missed Recycling Pickup,SE_Not_Overdue,TUESDAY,SETU102,SE,1
101003931402,Missed Yard Waste Pickup,SW_Not_Overdue,FRIDAY,SWFR116,SW,1
101003927116,Missed Yard Waste Pickup,SW_Not_Overdue,TUESDAY,SWTU122,SW,1
101003932559,Missed Garbage Pickup,SE_Not_Overdue,FRIDAY,SEFR108,SE,1
101003926895,Missed Heavy Trash Pickup,SE_Not_Overdue,TUESDAY,SETU114,SE,1
101003932801,Missed Heavy Trash Pickup,SW_Not_Overdue,THURSDAY,SWTH108,SW,1
101003930695,Missed Recycling Pickup,NW_Not_Overdue,MONDAY,NWMO120,NW,1
101003926810,Missed Garbage Pickup,SW_Overdue,THURSDAY,SWTH121,SW,1
